=	v-w1f1	=-001
pádlovat	v-w11942_ZUf1_ZU	pádlovat-001	substituted with v-w11942_ZUf2_ZU
pálit	v-w3364f1	pálit-001
pálit	v-w3364f2	pálit-002
pálit	v-w3364f3_ZU	pálit-003
pálit	v-w3364hsa_542	pálit-003	substituted with v-w3364f3_ZU
pálit	v-w3364f4_ZU	pálit-004
pálit	v-w3364hsa_459	pálit-005
pálit si	v-w3365f1	pálit si-001
párovat	v-w10502f3_ZU	párovat-002	obsolete
párovat	v-w10502f5_ZU	párovat-001
párovat	v-w10502f2	párovat-001	substituted with v-w10502f5_ZU
párovat	v-w10502f4_ZU	párovat-001	substituted with v-w10502f5_ZU
párovat se	v-whsa_1178hsa_1179	párovat se-001	obsolete
pást	v-w11545_ZUf1_ZU	pást-001
pást	v-w11545_ZUhsa_1086	pást-002
pást se	v-w11318f2	pást se-001
pást se	v-w11318f3_ZU	pást se-002
pást se	v-w11318f1	pást se-002	substituted with v-w11318f3_ZU
pátrat	v-w3407f3_ZU	pátrat-001
pátrat	v-w3407f1	pátrat-001	substituted with v-w3407f3_ZU
pátrat	v-w3407f2_ZU	pátrat-001	substituted with v-w3407f3_ZU
péci	v-w3413f2_ZU	péci-002	obsolete
péci	v-w3413f3_ZU	péci-001
péci	v-w3413f1	péci-001	substituted with v-w3413f3_ZU
píchat	v-w3437f1	píchat-002
píchat	v-w3437f2	píchat-003
píchat	v-w3437f3	píchat-001
píchat	v-w3437f4_ZU	píchat-004
píchnout	v-w3438f1	píchnout-001
píchnout	v-w3438f2	píchnout-002
píchnout	v-w3438hsa_1447	píchnout-003
píct	v-whsa_290hsa_291	píct-001
pídit se	v-w3434f1	pídit se-001
pípat	v-w11034f2	pípat-001
pískat	v-w3446f1	pískat-001
pískat	v-w3446f2	pískat-002
písknout	v-w3447f1	písknout-001
pít	v-w3450f1	pít-001
pít	v-w3450hsa_1257	pít-002
pózovat	v-w4218f1	pózovat-001
pěstovat	v-w3431f1	pěstovat-001
pěstovat	v-w3431hsa_1255	pěstovat-002
pěstovat si	v-w12075_ZUf1_ZU	pěstovat si-001
pěstovávat	v-whsa_1312hsa_1313	pěstovávat-001
pět	v-w3432f1	pět-005
pět	v-w3432f2	pět-002
pět	v-w3432f3	pět-004
pět	v-w3432f5	pět-001
pět	v-w3432hsa_1074	pět-003
pět	v-w3432f4	pět-003	substituted with v-w3432hsa_1074
přebalit	v-whsa_1130hsa_1131	přebalit-001
přebalovat	v-w11722_ZUf1_ZU	přebalovat-001
přebolet	v-w4674f1	přebolet-001
přebrat	v-w4675f1	přebrat-001
přebrat	v-w4675f2_ZU	přebrat-002
přebrat	v-w4675hsa_164	přebrat-002	substituted with v-w4675f2_ZU
přebrodit	v-whsa_2016hsa_2017	přebrodit-001
přebudovat	v-w4676f1	přebudovat-001
přebudovávat	v-w10915f2	přebudovávat-001
přebásnit	v-w10646f3	přebásnit-001
přebíhat	v-w4670f1	přebíhat-002
přebíhat	v-w4670f2	přebíhat-001
přebíhat	v-w4670f3_ZU	přebíhat-003
přebíjet	v-w10098f2	přebíjet-001
přebírat	v-w4672f1	přebírat-001
přebírat	v-w4672f2_ZU	přebírat-002
přebírat	v-w4672f3_MM	přebírat-003
přebít	v-w4673f1	přebít-001
přebývat	v-w4678f1	přebývat-001
přebývat	v-w4678f2	přebývat-002
přeběhnout	v-w4668f1	přeběhnout-002
přeběhnout	v-w4668f2	přeběhnout-001
přecedit	v-w10658f2	přecedit-001
přecenit	v-w4679f1	přecenit-001
přeceňovat	v-w4680f1	přeceňovat-001
přechodit	v-whsa_1717hsa_1718	přechodit-001
přechovávat	v-w4822f1	přechovávat-001
přechytračit	v-w11553_ZUf1_ZU	přechytračit-001
přecházet	v-w4819f1	přecházet-006
přecházet	v-w4819f2	přecházet-001
přecházet	v-w4819f3	přecházet-007
přecházet	v-w4819f4	přecházet-003
přecházet	v-w4819f5	přecházet-009
přecházet	v-w4819f6	přecházet-002
přecházet	v-w4819f7	přecházet-008
přecházet	v-w4819f8	přecházet-004
přecházet	v-w4819f9	přecházet-005
předat	v-w4694f1	předat-001
předat	v-w4694f2	předat-002
předat	v-w4694hsa_468	předat-003
předat	v-w4694f3	předat-003	substituted with v-w4694hsa_468
předat	v-w4694hsa_469	předat-004
předat	v-w4694f4	předat-004	substituted with v-w4694hsa_469
předat se	v-w4695f1	předat se-001
předat si	v-whsa_649hsa_650	předat si-001	obsolete
předbíhat	v-w4701f1	předbíhat-001
předbíhat	v-w4701f2_ZU	předbíhat-002
předbíhat se	v-w4702f1	předbíhat se-001
předběhnout	v-w4700f1	předběhnout-001
předběhnout	v-w4700f2	předběhnout-002
předcházet	v-w4720f1	předcházet-001
předcházet	v-w4720f2	předcházet-002
předcházet	v-w4720hsa_950	předcházet-003
předcházet	v-w4720hsa_951	předcházet-004
předcvičovat	v-whsb_279f1_ZU	předcvičovat-001
předcvičovat	v-whsb_279hsa_280	předcvičovat-001	substituted with v-whsb_279f1_ZU
předehnat	v-w10891f2	předehnat-001
předehrát	v-whsa_183f1_ZU	předehrát-001
předehrát	v-whsa_183hsa_184	předehrát-001	substituted with v-whsa_183f1_ZU
předejet	v-w12068_ZUf1_ZU	předejet-001
předejmout	v-w10162f2	předejmout-001
předejít	v-w4708f1	předejít-001
předejít	v-w4708f3_ZU	předejít-002
předejít	v-w4708f2	předejít-002	substituted with v-w4708f3_ZU
předepisovat	v-w4712f1	předepisovat-001
předepsat	v-w4714f1	předepsat-001
předeslat	v-whsa_321hsa_322	předeslat-001
předestřít	v-w4715f1	předestřít-001
předhazovat	v-w10369f2	předhazovat-001
předhánět	v-w4717f1	předhánět-001
předhánět se	v-w11371f2_ZU	předhánět se-001
předhánět se	v-w11371f1	předhánět se-001	substituted with v-w11371f2_ZU
předimenzovat	v-w4722f1	předimenzovat-001
předjet	v-w12135_ZUf2_ZU	předjet-001
předjet	v-w12135_ZUf1_ZU	předjet-001	substituted with v-w12135_ZUf2_ZU
předjímat	v-w4724f2_ZU	předjímat-001
předjímat	v-w4724f1	předjímat-001	substituted with v-w4724f2_ZU
předjíždět	v-w4726f1	předjíždět-001
předklonit se	v-w11246f1	předklonit se-001
předkládat	v-w4728f1	předkládat-001
předložit	v-w4733f1	předložit-001
předložit	v-w4733f2	předložit-002
předložit	v-w4733f3	předložit-003
přednášet	v-w4735f1	přednášet-002
přednášet	v-w4735f2	přednášet-001
přednášet	v-w4735f3	přednášet-003
přednášet	v-w4735hsa_866	přednášet-004
přednést	v-w4737f1	přednést-001
předpisovat	v-w4740f1	předpisovat-001
předplatit	v-w4741f1	předplatit-001
předplácet	v-w10168f2	předplácet-001
předpokládat	v-w4745f1	předpokládat-001
předpokládat	v-w4745f2	předpokládat-002
předpovídat	v-w4749f1	předpovídat-001
předpovědět	v-w4747f1	předpovědět-001
předražit	v-w4751f1	předražit-001
předražovat	v-w4752f1	předražovat-001
předsedat	v-w4756f1	předsedat-001
předsevzít si	v-w4757f1	předsevzít si-001
představit	v-w4760f1	představit-002
představit	v-w4760f2	představit-001
představit	v-w4760f3	představit-004
představit	v-w4760f4	představit-003
představit se	v-w4763f1	představit se-001
představit si	v-w4764f2	představit si-001
představit si	v-w4764f4_ZU	představit si-002
představit si	v-w4764f1	představit si-002	substituted with v-w4764f4_ZU
představit si	v-w4764f3_ZU	představit si-002	substituted with v-w4764f4_ZU
představit si	v-w4764hsa_1090	představit si-003
představovat	v-w4766f1	představovat-003
představovat	v-w4766f2	představovat-001
představovat	v-w4766f3	představovat-002
představovat se	v-w4767f1	představovat se-001
představovat si	v-w4768f1	představovat si-002
představovat si	v-w4768f2	představovat si-003
představovat si	v-w4768f3	představovat si-001
předstihnout	v-w4771f1	předstihnout-001
předstihovat	v-w10775f2	předstihovat-001
předstoupit	v-w4773f1	předstoupit-001
předstupovat	v-w4774f1	předstupovat-001
předstírat	v-w4772f1	předstírat-001
předtočit	v-w10387f2	předtočit-001
předurčit	v-w4777f1	předurčit-003
předurčit	v-w4777f2	předurčit-001
předurčit	v-w4777f3	předurčit-002
předurčovat	v-w4778f1	předurčovat-003
předurčovat	v-w4778f2	předurčovat-001
předurčovat	v-w4778f3	předurčovat-002
předvolat	v-w4786f1	předvolat-001
předvolávat	v-w4787f1	předvolávat-001
předvádět	v-w4779f1	předvádět-001
předvádět se	v-w4780f2_ZU	předvádět se-001
předvádět se	v-w4780f1	předvádět se-001	substituted with v-w4780f2_ZU
předvést	v-w4782f1	předvést-001
předvést	v-w4782f2	předvést-002
předvést se	v-w4783f1	předvést se-002
předvést se	v-w4783f2	předvést se-001
předvídat	v-w4784f1	předvídat-001
předznamenat	v-w4788f1	předznamenat-001
předznamenávat	v-w4789f1	předznamenávat-001
předzásobit	v-w12004_ZUf1_ZU	předzásobit-001
předávat	v-w4697f1	předávat-001
předávat	v-w4697f2	předávat-002
předávat	v-w4697f3	předávat-003
předávat	v-w4697f4	předávat-004
předávat si	v-whsa_447hsa_448	předávat si-001	obsolete
předávkovat	v-w11400f1	předávkovat-001
předávkovat se	v-w4699f1	předávkovat se-001
předčit	v-w4703f1	předčit-001
předčítat	v-w4704f1	předčítat-001
předělat	v-w4709f1	předělat-001
předělávat	v-w4710f1	předělávat-001
předřadit	v-w4753f1	předřadit-001
předříkávat	v-w4754f1	předříkávat-001
předřít se	v-w12019_ZUf1_ZU	předřít se-001
přefakturovat	v-whsa_1997f1_ZU	přefakturovat-001
přefakturovat	v-whsa_1997hsa_1998	přefakturovat-001	substituted with v-whsa_1997f1_ZU
přefilmovat	v-w4791f1	přefilmovat-001
přeformulovat	v-w11196f2	přeformulovat-001
přehazovat	v-w4794f1	přehazovat-001
přehazovat	v-w4794f2	přehazovat-002
přehazovat	v-w4794hsa_516	přehazovat-003
přehlasovat	v-w4796f1	přehlasovat-001
přehlavičkovat	v-w4797f1	přehlavičkovat-001
přehlcovat	v-w4799f1	přehlcovat-001
přehltit	v-w4804f1	přehltit-001
přehlušit	v-w11001f2	přehlušit-001
přehlédnout	v-w4801f1	přehlédnout-001
přehlédnout	v-w4801f2	přehlédnout-002
přehlížet	v-w4803f1	přehlížet-001
přehnat	v-whsa_1200f2_ZU	přehnat-002
přehnat	v-whsa_1200f1_ZU	přehnat-002	substituted with v-whsa_1200f2_ZU
přehnat	v-whsa_1200hsa_1992	přehnat-002	substituted with v-whsa_1200f2_ZU
přehnat	v-whsa_1200f3_ZU	přehnat-003
přehnat	v-whsa_1200hsa_1201	přehnat-001
přehnat se	v-w4805f1	přehnat se-002
přehnat se	v-w4805f4_ZU	přehnat se-001
přehnat se	v-w4805f2_ZU	přehnat se-001	substituted with v-w4805f4_ZU
přehnat se	v-w4805f3_ZU	přehnat se-001	substituted with v-w4805f4_ZU
přehodit	v-w4806f1	přehodit-001
přehodit	v-w4806f2	přehodit-002
přehodit	v-w4806f3_ZU	přehodit-003
přehodnocovat	v-w4808f1	přehodnocovat-001
přehodnocovat	v-w4808f2	přehodnocovat-002
přehodnotit	v-w4809f1	přehodnotit-002
přehodnotit	v-w4809f2	přehodnotit-001
přehoupnout se	v-w11359f1	přehoupnout se-001
přehrabovat se	v-w11273f1	přehrabovat se-001
přehradit	v-w4810f1	přehradit-001
přehrát	v-w4811f1	přehrát-001
přehrát	v-w4811f2	přehrát-002
přehrát	v-w4811f3	přehrát-004
přehrát	v-w4811f4	přehrát-003
přehrávat	v-w4812f1	přehrávat-001
přehrávat	v-w4812f2_ZU	přehrávat-003
přehrávat	v-w4812hsa_425	přehrávat-003	substituted with v-w4812f2_ZU
přehrávat	v-w4812hsa_424	přehrávat-002
přehrávat se	v-w4813f1	přehrávat se-001
přehrávat si	v-w12035_ZUf2_ZU	přehrávat si-001
přehrávat si	v-w12035_ZUf1_ZU	přehrávat si-001	substituted with v-w12035_ZUf2_ZU
přehustit	v-w4816f1	přehustit-001
přehustit	v-w4816f2	přehustit-002
přehánět	v-w4792f1	přehánět-001
přehřát	v-w4814f1	přehřát-001
přehřát se	v-w4815f1	přehřát se-001
přehřívat se	v-w12197_ZUf1_ZU	přehřívat se-001
přejet	v-w4823f1	přejet-001
přejet	v-w4823f2	přejet-004
přejet	v-w4823f3	přejet-003
přejet	v-w4823f4	přejet-002
přejet	v-w4823f5_ZU	přejet-005
přejet	v-w4823hsa_873	přejet-005	substituted with v-w4823f5_ZU
přejet	v-w4823f6_ZU	přejet-006
přejet	v-w4823f9_ZU	přejet-007
přejet	v-w4823f7_ZU	přejet-007	substituted with v-w4823f9_ZU
přejet	v-w4823f8_ZU	přejet-007	substituted with v-w4823f9_ZU
přejmenovat	v-w4829f1	přejmenovat-001
přejmout	v-w4830f1	přejmout-002
přejmout	v-w4830f2	přejmout-001
přejímat	v-w4826f1	přejímat-001
přejíst se	v-whsa_1061hsa_1062	přejíst se-001
přejít	v-w4827f1	přejít-006
přejít	v-w4827f2	přejít-001
přejít	v-w4827f4	přejít-007
přejít	v-w4827f5	přejít-008
přejít	v-w4827f6	přejít-002
přejít	v-w4827f7	přejít-005
přejít	v-w4827f8	přejít-009
přejít	v-w4827f9	přejít-003
přejít	v-w4827f10_ZU	přejít-004
přejít	v-w4827f3	přejít-004	substituted with v-w4827f10_ZU
přejíždět	v-w11054f2	přejíždět-001
přejíždět	v-w11054f3_ZU	přejíždět-002
přejíždět	v-w11054hsa_785	přejíždět-002	substituted with v-w11054f3_ZU
přejíždět	v-w11054f4_ZU	přejíždět-003
přejíždět	v-w11054hsa_786	přejíždět-003	substituted with v-w11054f4_ZU
přejíždět	v-w11054hsa_784	přejíždět-004
překazit	v-w4831f1	překazit-001
překlasifikovat	v-w10504f2	překlasifikovat-001
překlasifikovat	v-w10504hsa_855	překlasifikovat-002
překlenout	v-w4837f1	překlenout-001
překlenout	v-w4837f2	překlenout-002
překlopit	v-w11943_ZUf1_ZU	překlopit-001
překládat	v-w4836f1	překládat-001
překlápět se	v-w11271f1	překlápět se-001
překonat	v-w4840f1	překonat-001
překonat	v-w4840f2_ZU	překonat-002
překonat	v-w4840f3_ZU	překonat-003
překonat se	v-w4841f1	překonat se-001
překontrolovat	v-w10242f2	překontrolovat-001
překonávat	v-w4843f1	překonávat-001
překonávat se	v-w4844f1	překonávat se-001
překopnout	v-w4845f1	překopnout-001
překopnout	v-w4845f2	překopnout-002
překousnout	v-w4846f1	překousnout-001
překračovat	v-w4848f1	překračovat-001
překračovat	v-w4848f2_ZU	překračovat-004
překračovat	v-w4848hsa_572	překračovat-002
překračovat	v-w4848hsa_573	překračovat-003
překreslovat	v-w4849f1	překreslovat-001
překrmovat	v-w4850f1	překrmovat-001
překroutit	v-w4854f1	překroutit-001
překročit	v-w4852f1	překročit-001
překročit	v-w4852f2	překročit-002
překročit	v-w4852hsa_1958	překročit-003
překrucovat	v-w10708f2	překrucovat-001
překrýt	v-w4856f1	překrýt-001
překrýt	v-w4856f2	překrýt-002
překrýt	v-w4856f3_ZU	překrýt-003
překrývat	v-w10338f2	překrývat-002
překrývat	v-w10338f3	překrývat-001
překrývat se	v-w11289f1	překrývat se-001
překulit se	v-w11298f2	překulit se-002
překulit se	v-w11298f3	překulit se-001
překvapit	v-w4862f1	překvapit-001
překvapit	v-w4862f3_ZU	překvapit-002
překvapit	v-w4862f2	překvapit-002	substituted with v-w4862f3_ZU
překvapovat	v-w4863f1	překvapovat-001
překvapovat	v-w4863f2	překvapovat-002
překypovat	v-w10940f2	překypovat-001
překypovat	v-w10940f3	překypovat-002
překypět	v-w10586f2	překypět-001
překážet	v-w4832f2	překážet-002
překážet	v-w4832f3_ZU	překážet-001
překážet	v-w4832f1	překážet-001	substituted with v-w4832f3_ZU
překážet	v-w4832hsa_721	překážet-001	substituted with v-w4832f3_ZU
překřikovat	v-w4858f1	překřikovat-001
překřtít	v-w4859f1	překřtít-001
překřížit	v-w11056f2	překřížit-001
překřížit	v-w11056f3_ZU	překřížit-002
přeladit se	v-w11286f1	přeladit se-001
přelarvovat	v-whsa_254hsa_255	přelarvovat-001
přelaďovat	v-w4864f1	přelaďovat-001
přeletět	v-w4866f1	přeletět-001
přeletět	v-w4866f2	přeletět-002
přelidnit	v-w4869f1	přelidnit-001
přelidnit se	v-w4870f1	přelidnit se-001
přeložit	v-w4873f1	přeložit-001
přeložit	v-w4873f2	přeložit-004
přeložit	v-w4873f3	přeložit-002
přeložit	v-w4873f6_ZU	přeložit-003
přeložit	v-w4873f4_ZU	přeložit-003	substituted with v-w4873f6_ZU
přeložit	v-w4873f5_ZU	přeložit-003	substituted with v-w4873f6_ZU
přelstít	v-w4874f1	přelstít-001
přelámat	v-w12303_MMf1_MM	přelámat-001
přelétnout	v-whsa_329f1_ZU	přelétnout-001
přelétnout	v-whsa_329hsa_330	přelétnout-001	substituted with v-whsa_329f1_ZU
přelétávat	v-whsa_1578hsa_1579	přelétávat-001
přelétávat	v-whsa_1578hsa_1580	přelétávat-002
přelévat	v-w10847f2	přelévat-001
přelévat se	v-whsa_1260hsa_1261	přelévat se-001
přelézt	v-w4867f1	přelézt-001
přelézt	v-w4867f3_ZU	přelézt-002
přelézt	v-w4867f2_ZU	přelézt-002	substituted with v-w4867f3_ZU
přelít	v-w4871f1	přelít-001
přelítnout	v-whsa_1287f1_ZU	přelítnout-001
přelítnout	v-whsa_1287hsa_1288	přelítnout-001	substituted with v-whsa_1287f1_ZU
přemalovat	v-w10560f2	přemalovat-001
přemisťovat	v-w4884f1	přemisťovat-001
přemlouvat	v-w4887f1	přemlouvat-001
přemluvit	v-w4888f1	přemluvit-001
přemnožit se	v-w11831_ZUf1_ZU	přemnožit se-001
přemoci	v-w4889f1	přemoci-001
přemostit	v-w4891f1	přemostit-001
přemáhat se	v-whsa_1050hsa_1051	přemáhat se-001
přemístit	v-w4881f1	přemístit-001
přemístit	v-w4881f2	přemístit-002
přemístit se	v-w4882f1	přemístit se-001
přemítat	v-w4886f1	přemítat-001
přemýšlet	v-w4895f1	přemýšlet-001
přeměnit	v-w4877f1	přeměnit-001
přeměnit se	v-w11554_ZUf1_ZU	přeměnit se-001
přeměňovat	v-w4878f1	přeměňovat-001
přeměřit	v-w4879f1	přeměřit-001
přeměřovat	v-w11555_ZUf1_ZU	přeměřovat-001
přendat	v-whsa_1434f1_ZU	přendat-001
přendat	v-whsa_1434hsa_1435	přendat-001	substituted with v-whsa_1434f1_ZU
přendávat	v-whsb_867hsa_868	přendávat-001
přenechat	v-w4901f1	přenechat-001
přenechat	v-w4901hsa_1015	přenechat-002
přenechávat	v-w4902f1	přenechávat-001
přenocovat	v-w12076_ZUf1_ZU	přenocovat-001
přenášet	v-w4899f1	přenášet-002
přenášet	v-w4899f2	přenášet-003
přenášet	v-w4899f3	přenášet-001
přenášet	v-w4899f4_ZU	přenášet-005
přenášet	v-w4899hsa_368	přenášet-004
přenášet se	v-w4900f1	přenášet se-001
přenést	v-w4904f1	přenést-003
přenést	v-w4904f2	přenést-001
přenést	v-w4904f3	přenést-002
přenést	v-w4904f4	přenést-004
přenést	v-w4904hsa_22	přenést-005
přenést se	v-w4905f1	přenést se-002
přenést se	v-w4905f2	přenést se-001
přenést se	v-w4905f3	přenést se-003
přeorganizovat	v-whsa_393hsa_394	přeorganizovat-001
přeorientovat	v-w11266f1	přeorientovat-001
přeorientovat se	v-w4907f1	přeorientovat se-001
přeorientovat se	v-w4907f2	přeorientovat se-002
přepadat	v-w4910f1	přepadat-001
přepadnout	v-w4912f1	přepadnout-001
přepadnout	v-w4912hsa_1892	přepadnout-002
přepadávat	v-w11894_ZUf1_ZU	přepadávat-001
přepalovat se	v-whsb_235hsa_236	přepalovat se-001	obsolete
přepalovat se	v-whsa_235f1_ZU	přepalovat se-002
přepisovat	v-w4916f1	přepisovat-001
přeplatit	v-w10675f2	přeplatit-001
přeplavat	v-whsa_1162f1_ZU	přeplavat-001
přeplavat	v-whsb_1162hsa_1163	přeplavat-001	substituted with v-whsa_1162f1_ZU
přeplavat	v-whsa_1162f2_ZU	přeplavat-002
přeplavat	v-whsa_1162hsa_1164	přeplavat-002	substituted with v-whsa_1162f2_ZU
přeplavit	v-whsa_1314f1_ZU	přeplavit-001
přeplavit	v-whsa_1314hsa_1315	přeplavit-001	substituted with v-whsa_1314f1_ZU
přeplnit	v-w4922f1	přeplnit-002
přeplnit	v-w4922f2	přeplnit-001
přeplácet	v-w4918f1	přeplácet-001
přeplánovat	v-w10662f2	přeplánovat-001
přepnout	v-w10738f2	přepnout-002
přepnout	v-w10738f3	přepnout-001
přepnout se	v-whsa_1023hsa_1024	přepnout se-001
přepojit	v-w4925f1	přepojit-001
přeposílat	v-w11334f1	přeposílat-001
přepočíst	v-w10696f3_ZU	přepočíst-001
přepočíst	v-w10696f2	přepočíst-001	substituted with v-w10696f3_ZU
přepočítat	v-w11556_ZUf2_ZU	přepočítat-001
přepočítat	v-w11556_ZUf1_ZU	přepočítat-001	substituted with v-w11556_ZUf2_ZU
přepočítat	v-w11556_ZUhsa_574	přepočítat-002
přepočítat se	v-w4924f1	přepočítat se-001
přepočítávat	v-w10171f2	přepočítávat-001
přepracovat	v-w4927f3	přepracovat-001
přepracovat	v-w4927f1	přepracovat-001	substituted with v-w4927f3
přepracovávat	v-w10881f3	přepracovávat-001
přeprat	v-w12262_ZUf1_ZU	přeprat-001
přepravit	v-w4930f1	přepravit-001
přepravovat	v-w4931f1	přepravovat-001
přepsat	v-w4933f1	přepsat-001
přepsat	v-w4933f2_ZU	přepsat-002
přepustit	v-w4934f1	přepustit-001
přepínat	v-w4914f1	přepínat-001
přerazit	v-w4935f1	přerazit-001
přerazítkovat	v-w10228f2	přerazítkovat-001
přeregistrovat	v-w4937f1	přeregistrovat-002
přeregistrovat	v-w4937f2	přeregistrovat-001
přeregistrovávat	v-w4938f1	přeregistrovávat-001
přerozdělit	v-w4941f1	přerozdělit-001
přerozdělovat	v-w4943f1	přerozdělovat-001
přerušit	v-w4948f1	přerušit-001
přerušit	v-w4948f3_ZU	přerušit-002
přerušit	v-w4948f2_ZU	přerušit-002	substituted with v-w4948f3_ZU
přerušit	v-w4948hsa_119	přerušit-003
přerušit	v-w4948hsa_1192	přerušit-004
přerušovat	v-w10819f2	přerušovat-001
přerušovat	v-w10819f3_ZU	přerušovat-002
přerušovat	v-w10819hsa_101	přerušovat-002	substituted with v-w10819f3_ZU
přervat	v-w4950f1	přervat-001
přerůst	v-w4944f1	přerůst-002
přerůst	v-w4944f2	přerůst-001
přerůst	v-w4944f3	přerůst-003
přerůstat	v-w4945f1	přerůstat-001
přerůstat	v-w4945f2_ZU	přerůstat-002
přesadit	v-w4954f1	přesadit-001
přesahovat	v-w4957f1	přesahovat-001
přesahovat	v-w4957f2	přesahovat-002
přesahovat	v-w4957f3	přesahovat-003
přesedlat	v-w4959f2	přesedlat-002
přesedlat	v-w4959f3	přesedlat-001
přesedlat	v-w4959f1	přesedlat-001	substituted with v-w4959f3
přesedlávat	v-w4960f1	přesedlávat-001
přesednout	v-w12331_MMf1_MM	přesednout-001
